,Name,Result
0,Mohamed FARAH,25:05.17
1,Paul Kipngetich TANUI,27:05.64
2,Tamirat TOLA,27:06.26
3,Kenenisa BEKELE,27:01.17
4,Sileshi SIHINE,27:02.77
5,Micah KOGO,27:04.11
6,Haile GEBRSELASSIE,27:18.20
7,Paul TERGAT,27:18.29
8,Assefa MEZGEBU,27:19.75
9,Khalid SKAH,27:46.70
10,Richard CHELIMO,27:47.72
11,Addis ABEBE,28:00.07
12,Alberto COVA,27:47.54
13,Michael MCLEOD,28:06.22
14,Michael MUSYOKI,28:06.46
15,Lasse VIREN,27:40.38
16,Carlos LOPES,27:45.17
17,Brendan FOSTER,27:54.92
18,Naftali TEMU,29:27.4
19,Mamo WOLDE,29:28.0
20,Mohamed GAMMOUDI,29:34.2
21,Pyotr BOLOTNIKOV,28:32.2
22,Hans GRODOTZKI,28:37.0
23,David POWER,28:38.2
24,Emil ZÃTOPEK,29:17.0
25,Alain MIMOUN,29:32.8
26,Aleksandr ANUFRIYEV,29:48.2
27,Ilmari SALMINEN,30:15.4
28,Arvo ASKOLA,30:15.6
29,Volmari ISO-HOLLO,30:20.2
30,Paavo NURMI,30:18.8
31,Ville RITOLA,30:19.4
32,Edvin WIDE,31:00.8
33,Paavo NURMI,31:45.8
34,Joseph GUILLEMOT,31:47.2
35,James WILSON,31:50.8
36,Mohamed FARAH,27:30.42
37,Galen RUPP,27:30.90
38,Tariku BEKELE,27:31.43
39,Kenenisa BEKELE,27:05.10
40,Sileshi SIHINE,27:09.39
41,Zersenay TADESE,27:22.57
42,Haile GEBRSELASSIE,27:07.34
43,Paul TERGAT,27:08.17
44,Salah HISSOU,27:24.67
45,Miruts YIFTER,27:42.7
46,Kaarlo MAANINKA,27:44.3
47,Mohammed KEDIR,27:44.7
48,Lasse VIREN,27:38.35
49,Emiel PUTTEMANS,27:39.58
50,Miruts YIFTER,27:40.96
51,Billy MILLS,28:24.4
52,Mohamed GAMMOUDI,28:24.8
53,Ron CLARKE,28:25.8
54,Vladimir KUTS,28:45.6
55,JÃ³zsef KOVÃCS,28:52.4
56,Allan LAWRENCE,28:53.6
57,Emil ZÃTOPEK,29:59.6
58,Alain MIMOUN,30:47.4
59,Bertil ALBERTSSON,30:53.6
60,Janusz KUSOCINSKI,30:11.4
61,Volmari ISO-HOLLO,30:12.6
62,Lauri VIRTANEN,30:35.0
63,Ville RITOLA,30:23.2
64,Edvin WIDE,30:55.2
65,Eero BERG,31:43.0
66,Hannes KOLEHMAINEN,31:20.8
67,Lewis TEWANIMA,32:06.6
68,Albin STENROOS,32:21.8
69,Usain BOLT,9.81
70,Justin GATLIN,9.89
71,Andre DE GRASSE,9.91
72,Usain BOLT,9.69
73,Richard THOMPSON,9.89
74,Walter DIX,9.91
75,Maurice GREENE,9.87
76,Ato BOLDON,9.99
77,Obadele THOMPSON,10.04
78,Linford CHRISTIE,9.96
79,Frank FREDERICKS,10.02
80,Dennis MITCHELL,10.04
81,Carl LEWIS,9.99
82,Sam GRADDY,10.19
83,Ben JOHNSON,10.22
84,Hasely CRAWFORD,10.06
85,Donald QUARRIE,10.08
86,Valery BORZOV,10.14
87,Jim HINES,9.9
88,Lennox MILLER,10.0
89,Charlie GREENE,10.0
90,Armin HARY,10.2
91,Dave SIME,10.2
92,Peter RADFORD,10.3
93,Lindy REMIGINO,10.4
94,Herbert MCKENLEY,10.4
95,Emmanuel McDONALD BAILEY,10.4
96,Jesse OWENS,10.3
97,Ralph METCALFE,10.4
98,Martinus OSENDARP,10.5
99,Percy WILLIAMS,10.8
100,Jack LONDON,10.9
101,Georg LAMMERS,10.9
102,Charles PADDOCK,10.8
103,Morris KIRKSEY,10.8
104,Harry EDWARD,10.9
105,Reggie WALKER,10.8
106,John RECTOR,
107,Robert KERR,
108,Frank JARVIS,11.0
109,Walter TEWKSBURY,11.1
110,Stanley ROWLEY,11.2
111,Usain BOLT,9.63
112,Yohan BLAKE,9.75
113,Justin GATLIN,9.79
114,Justin GATLIN,9.85
115,Francis OBIKWELU,9.86
116,Maurice GREENE,9.87
117,Donovan BAILEY,9.84
118,Frank FREDERICKS,9.89
119,Ato BOLDON,9.9
120,Allan WELLS,10.25
121,Silvio LEONARD SARRIA,10.25
122,Peter PETROV,10.39
123,Valery BORZOV,10.14
124,Robert TAYLOR,10.24
125,Lennox MILLER,10.33
126,Bob HAYES,10.0
127,Enrique FIGUEROLA,10.2
128,Harry JEROME,10.2
129,Bobby MORROW,10.5
130,Thane BAKER,10.5
131,Hector HOGAN,10.6
132,Harrison DILLARD,10.3
133,Barney EWELL,10.4
134,Lloyd LABEACH,10.6
135,Eddie TOLAN,10.3
136,Ralph METCALFE,10.3
137,Arthur JONATH,10.4
138,Harold ABRAHAMS,10.6
139,Jackson SCHOLZ,10.7
140,Arthur PORRITT,10.8
141,Ralph CRAIG,10.8
142,Alvah MEYER,10.9
143,Donald LIPPINCOTT,10.9
144,Archie HAHN,11.0
145,Nate CARTMELL,11.2
146,William HOGENSON,11.2
147,Thomas BURKE,12.0
148,Fritz HOFMANN,12.2
149,Alajos SZOKOLYI,12.6
150,Francis LANE,12.6
151,Omar MCLEOD,13.05
152,Orlando ORTEGA,13.17
153,Dimitri BASCOU,13.24
154,Dayron ROBLES,12.93
155,David PAYNE,13.17
156,David OLIVER,13.18
157,Anier GARCIA,13.0
158,Terrence TRAMMELL,13.16
159,Mark CREAR,13.22
160,Mark MCKOY,13.12
161,Tony DEES,13.24
162,Jack PIERCE,13.26
163,Roger KINGDOM,13.2
164,Greg FOSTER,13.23
165,Arto BRYGGARE,13.4
166,Guy DRUT,13.3
167,Alejandro CASAÃAS,13.33
168,Willie DAVENPORT,13.38
169,Willie DAVENPORT,13.3
170,Ervin HALL,13.4
171,Eddy OTTOZ,13.4
172,Lee CALHOUN,13.8
173,Willie MAY,13.8
174,Hayes JONES,14.0
175,Harrison DILLARD,13.7
176,Jack DAVIS,13.7
177,Arthur BARNARD,14.1
178,Forrest TOWNS,14.2
179,Donald FINLAY,14.4
180,Fritz POLLARD,14.4
181,Sidney ATKINSON,14.8
182,Steve ANDERSON,14.8
183,John COLLIER,14.9
184,Earl THOMSON,14.8
185,Harold BARRON,15.1
186,Frederick MURRAY,15.1
187,Forrest SMITHSON,15.0
188,John GARRELLS,15.7
189,Arthur SHAW,
190,Alvin KRAENZLEIN,15.4
191,John MCLEAN,15.5
192,Frederick MOLONEY,15.6
193,Aries MERRITT,12.92
194,Jason RICHARDSON,13.04
195,Hansle PARCHMENT,13.12
196,Xiang LIU,12.91
197,Terrence TRAMMELL,13.18
198,Anier GARCIA,13.2
199,Allen JOHNSON,12.95
200,Mark CREAR,13.09
201,Florian SCHWARTHOFF,13.17
202,Thomas MUNKELT,13.39
203,Alejandro CASAÃAS,13.4
204,Aleksandr PUCHKOV,13.44
205,Rod MILBURN,13.24
206,Guy DRUT,13.34
207,Thomas HILL,13.48
208,Hayes JONES,13.6
209,Blaine LINDGREN,13.7
210,Anatoly MIKHAYLOV,13.7
211,Lee CALHOUN,13.5
212,Jack DAVIS,13.5
213,Joel SHANKLE,14.1
214,Bill PORTER,13.9
215,Clyde SCOTT,14.1
216,Craig DIXON,14.1
217,George SALING,14.6
218,Percy BEARD,14.7
219,Donald FINLAY,14.8
220,Daniel KINSEY,15.0
221,Sidney ATKINSON,15.0
222,Sten PETTERSSON,15.4
223,Frederick KELLY,15.1
224,James WENDELL,15.2
225,Martin HAWKINS,15.3
226,Frederick SCHULE,16.0
227,Thaddeus SHIDELER,16.3
228,Lesley ASHBURNER,16.4
229,Thomas CURTIS,17.6
230,Grantley GOULDING,17.7
231,Matthew CENTROWITZ,3:50.00
232,Taoufik MAKHLOUFI,3:50.11
233,Nicholas WILLIS,3:50.24
234,Asbel Kipruto KIPROP,3:33.11
235,Nicholas WILLIS,3:34.16
236,Medhi BAALA,3:34.21
237,Noah Kiprono NGENYI,03:32.07
238,Hicham EL GUERROUJ,03:32.32
239,Bernard LAGAT,03:32.44
240,Fermin CACHO RUIZ,3:40.12
241,Rachid EL BASIR,3:40.62
242,Mohamed Ahmed SULAIMAN,3:40.69
243,Sebastian COE,3:32.53
244,Steve CRAM,3:33.40
245,JosÃ© Manuel ABASCAL,3:34.30
246,John George WALKER,3:39.17
247,Ivo VAN DAMME,3:39.27
248,Paul-Heinz WELLMANN,3:39.33
249,Kip KEINO,3:34.9
250,Jim RYUN,3:37.8
251,Bodo TÃMMLER,3:39.0
252,Herb ELLIOTT,3:35.6
253,Michel JAZY,3:38.4
254,IstvÃ¡n RÃZSAVÃLGYI,3:39.2
255,Joseph BARTHEL,3:45.2
256,Robert MCMILLEN,3:45.2
257,Werner LUEG,3:45.4
258,John LOVELOCK,3:47.8
259,Glenn CUNNINGHAM,3:48.4
260,Luigi BECCALI,3:49.2
261,Harri LARVA,3:53.2
262,Jules LADOUMEGUE,3:53.8
263,Eino PURJE,3:56.4
264,Albert HILL,4:01.8
265,Philip BAKER,4:02.4
266,Lawrence SHIELDS,4:03.1
267,Melvin SHEPPARD,4:03.4
268,Harold WILSON,4:03.6
269,Norman HALLOWS,4:04.0
270,Charles BENNETT,4:06.2
271,Henri DELOGE,4:06.6
272,John BRAY,4:07.2
273,Taoufik MAKHLOUFI,3:34.08
274,Leonel MANZANO,3:34.79
275,Abdalaati IGUIDER,3:35.13
276,Hicham EL GUERROUJ,3:34.18
277,Bernard LAGAT,3:34.30
278,Rui SILVA,3:34.68
279,Noureddine MORCELI,3:35.78
280,Fermin CACHO RUIZ,3:36.40
281,Stephen KIPKORIR,3:36.72
282,Sebastian COE,3:38.4
283,JÃ¼rgen STRAUB,3:38.8
284,Steve OVETT,3:39.0
285,Pekka VASALA,3:36.33
286,Kip KEINO,3:36.81
287,Rodney DIXON,3:37.46
288,Peter SNELL,3:38.1
289,Josef ODLOZIL,3:39.6
290,John DAVIES,3:39.6
291,Ron DELANY,3:41.2
292,Klaus RICHTZENHAIN,3:42.0
293,John LANDY,3:42.0
294,Henry ERIKSSON,3:49.8
295,Lennart STRAND,3:50.4
296,Willem SLIJKHUIS,3:50.4
297,Luigi BECCALI,3:51.2
298,John CORNES,3:52.6
299,Philip EDWARDS,
300,Paavo NURMI,3:53.6
301,Willy SCHÃRER,3:55.0
302,Henry STALLARD,3:55.6
303,Arnold JACKSON,3:56.8
304,Abel KIVIAT,3:56.9
305,Norman TABER,3:56.9
306,James LIGHTBODY,4:05.4
307,William VERNER,4:06.8
308,Lacey HEARN,
309,Edwin FLACK,4:33.2
310,Arthur BLAKE,4:34.0
311,Albin LERMUSIAUX,4:36.0
312,Usain BOLT,19.78
313,Andre DE GRASSE,20.02
314,Christophe LEMAITRE,20.12
315,Usain BOLT,19.30
316,Shawn CRAWFORD,19.96
317,Walter DIX,19.98
318,Kostas KENTERIS,20.09
319,Darren CAMPBELL,20.14
320,Ato BOLDON,20.2
321,Michael MARSH,20.01
322,Frank FREDERICKS,20.13
323,Michael BATES,20.38
324,Carl LEWIS,19.8
325,Kirk BAPTISTE,19.96
326,Thomas JEFFERSON,20.26
327,Donald QUARRIE,20.23
328,Millard Frank Jr. HAMPTON,20.29
329,Dwayne Eugene EVANS,20.43
330,Tommie SMITH,19.8
331,Peter NORMAN,20.0
332,John CARLOS,20.0
333,Livio BERRUTI,20.5
334,Lester Nelson CARNEY,20.6
335,Abdoulaye SEYE,20.7
336,Andy STANFIELD,20.7
337,Thane BAKER,20.8
338,James GATHERS,20.8
339,Jesse OWENS,20.7
340,Matthew Mackenzie ROBINSON,21.1
341,Martinus OSENDARP,21.3
342,Percy WILLIAMS,21.8
343,Walter RANGELEY,21.9
344,Helmut KÃRNIG,21.9
345,Allen WOODRING,22.0
346,Charles PADDOCK,22.1
347,Harry EDWARD,22.2
348,Robert KERR,22.6
349,Robert CLOUGHEN,
350,Nate CARTMELL,
351,Walter TEWKSBURY,22.2
352,Norman PRITCHARD,22.8
353,Stanley ROWLEY,22.9
354,Usain BOLT,19.32
355,Yohan BLAKE,19.44
356,Warren WEIR,19.84
357,Shawn CRAWFORD,19.79
358,Bernard WILLIAMS III,20.01
359,Justin GATLIN,20.03
360,Michael JOHNSON,19.32
361,Frank FREDERICKS,19.68
362,Ato BOLDON,19.8
363,Pietro MENNEA,20.19
364,Allan WELLS,20.21
365,Donald QUARRIE,20.29
366,Valery BORZOV,20.0
367,Larry BLACK,20.19
368,Pietro MENNEA,20.3
369,Henry CARR,20.3
370,Paul DRAYTON,20.5
371,Edwin ROBERTS,20.6
372,Bobby MORROW,20.6
373,Andy STANFIELD,20.7
374,Thane BAKER,20.9
375,Mel PATTON,21.1
376,Barney EWELL,21.1
377,Lloyd LABEACH,21.2
378,Eddie TOLAN,21.2
379,George SIMPSON,21.4
380,Ralph METCALFE,21.5
381,Jackson SCHOLZ,21.6
382,Charles PADDOCK,21.7
383,Eric LIDDELL,21.9
384,Ralph CRAIG,21.7
385,Donald LIPPINCOTT,21.8
386,William APPLEGARTH,22.0
387,Archie HAHN,21.6
388,Nate CARTMELL,21.9
389,William HOGENSON,
390,Zhen WANG,1:19:14
391,Zelin CAI,1:19:26
392,Dane BIRD-SMITH,1:19:37
393,Valeriy BORCHIN,1h19:01
394,Jefferson PEREZ,1h19:15
395,Jared TALLENT,1h19:42
396,Robert KORZENIOWSKI,01h18:59
397,Noe HERNANDEZ,01h19:03
398,Vladimir ANDREYEV,01h19:27
399,Daniel PLAZA,1:21:45
400,Guillaume LEBLANC,1:22:25
401,Giovanni DE BENEDICTIS,1:23:11
402,Ernesto CANTO,1:23:13
403,RaÃºl GONZÃLEZ,1:23:20
404,Maurizio DAMILANO,1:23:26
405,Daniel BAUTISTA ROCHA,1:24:40.6
406,Hans REIMANN,1:25:13.8
407,Peter FRENKEL,1:25:29.4
408,Vladimir GOLUBNICHY,1:33:58.4
409,JosÃ© PEDRAZA,1:34:00.0
410,Nikolay SMAGA,1:34:03.4
411,Vladimir GOLUBNICHY,1:34:07.2
412,Noel FREEMAN,1:34:16.4
413,Stanley Frank VICKERS,1:34:56.4
414,Ding CHEN,1:18:46
415,Erick BARRONDO,1:18:57
416,Zhen WANG,1:19:25
417,Ivano BRUGNETTI,1h19:40
418,Francisco Javier FERNANDEZ,1h19:45
419,Nathan DEAKES,1h20:02
420,Jefferson PEREZ,1:20:07
421,Ilya MARKOV,1:20:16
422,Bernardo SEGURA,1:20:23
423,Jozef PRIBILINEC,1:19:57
424,Ronald WEIGEL,1:20:00
425,Maurizio DAMILANO,1:20:14
426,Maurizio DAMILANO,1:23:35.5
427,Piotr POCHINCHUK,1:24:45.4
428,Roland WIESER,1:25:58.2
429,Peter FRENKEL,1:26:42.4
430,Vladimir GOLUBNICHY,1:26:55.2
431,Hans REIMANN,1:27:16.6
432,Kenneth Joseph MATTHEWS,1:29:34.0
433,Dieter LINDNER,1:31:13.2
434,Vladimir GOLUBNICHY,1:31:59.4
435,Leonid SPIRIN,1:31:27.4
436,Antanas MIKENAS,1:32:03.0
437,Bruno JUNK,1:32:12.0
438,Conseslus KIPRUTO,8:03.28
439,Evan JAGER,8:04.28
440,Mahiedine MEKHISSI,8:11.52
441,Brimin Kiprop KIPRUTO,8:10.34
442,Mahiedine MEKHISSI-BENABBAD,8:10.49
443,Richard Kipkemboi MATEELONG,8:11.01
444,Reuben KOSGEI,08:21.43
445,Wilson Boit KIPKETER,08:21.77
446,Ali EZZINE,08:22.15
447,Matthew BIRIR,8:08.84
448,Patrick SANG,8:09.55
449,William MUTWOL,8:10.74
450,Julius KORIR,8:11.80
451,Joseph MAHMOUD,8:13.31
452,Brian Lee DIEMER,8:14.06
453,Anders GARDERUD,8:08.02
454,Bronislaw MALINOWSKI,8:09.11
455,Frank BAUMGARTL,8:10.36
456,Amos BIWOTT,8:51.0
457,Benjamin KOGO,8:51.6
458,George YOUNG,8:51.8
459,Zdzislaw KRZYSZKOWIAK,8:34.2
460,Nikolay SOKOLOV,8:36.4
461,Semyon RZISHCHIN,8:42.2
462,Horace ASHENFELTER,08:45.4
463,Vladimir KAZANTSEV,08:51.6
464,John DISLEY,08:51.8
465,Volmari ISO-HOLLO,9:03.8
466,Kaarlo Jalmari TUOMINEN,9:06.8
467,Alfred DOMPERT,9:07.2
468,Toivo LOUKOLA,9:21.8
469,Paavo NURMI,9:31.2
470,Ove ANDERSEN,9:35.6
471,Percy HODGE,10:00.4
472,Patrick FLYNN,
473,Ernesto AMBROSINI,
474,George ORTON,7:34.4
475,Sidney ROBINSON,7:38.0
476,Jean CHASTANIE,
477,Ezekiel KEMBOI,8:18.56
478,Mahiedine MEKHISSI-BENABBAD,8:19.08
479,Abel Kiprop MUTAI,8:19.73
480,Ezekiel KEMBOI,8:05.81
481,Brimin Kiprop KIPRUTO,8:06.11
482,Paul Kipsiele KOECH,8:06.64
483,Joseph KETER,8:07.12
484,Moses KIPTANUI,8:08.33
485,Alessandro LAMBRUSCHINI,8:11.28
486,Bronislaw MALINOWSKI,08:09.7
487,Filbert BAYI,08:12.5
488,Eshetu TURA,08:13.6
489,Kip KEINO,8:23.64
490,Ben JIPCHO,8:24.62
491,Tapio KANTANEN,8:24.66
492,Gaston ROELANTS,8:30.8
493,Maurice HERRIOTT,8:32.4
494,Ivan BELYAEV,8:33.8
495,Christopher William BRASHER,8:41.2
496,SÃÂ¡ndor ROZSNYÃ?I,8:43.6
497,Ernst LARSEN,8:44.0
498,Tore SJÃSTRAND,9:04.6
499,Fritz Erik ELMSÃ?TER,9:08.2
500,Gote Ernst HAGSTROM,9:11.8
501,Volmari ISO-HOLLO,10:33.4
502,Thomas EVENSON,10:46.0
503,Joseph MCCLUSKEY,10:46.2
504,Ville RITOLA,9:33.6
505,Elias KATZ,9:44.0
506,Paul BONTEMPS,9:45.2
507,James LIGHTBODY,7:39.6
508,John DALY,7:40.6
509,Arthur NEWTON,
510,Kerron CLEMENT,47.73
511,Boniface MUCHERU,47.78
512,Yasmani COPELLO,47.92
513,Angelo TAYLOR,47.25
514,Kerron CLEMENT,47.98
515,Bershawn JACKSON,48.06
516,Angelo TAYLOR,47.5
517,Hadi Soua An AL SOMAILY,47.53
518,Llewellyn HERBERT,47.81
519,Kevin YOUNG,46.78
520,Winthrop GRAHAM,47.66
521,Kriss AKABUSI,47.82
522,Edwin MOSES,47.75
523,Danny HARRIS,48.13
524,Harald SCHMID,48.19
525,Edwin MOSES,47.64
526,Michael Lyle SHINE,48.69
527,Yevgeni GAVRILENKO,49.45
528,David HEMERY,48.1
529,Gerhard HENNIGE,49.0
530,John SHERWOOD,49.0
531,Glenn DAVIS,49.3
532,Clifton Emmett CUSHMAN,49.6
533,Richard HOWARD,49.7
534,Charles Hewes Jr. MOORE,50.8
535,Yury Nikolayevich LITUYEV,51.3
536,John Macfarlane HOLLAND,52.2
537,Glenn HARDIN,52.4
538,John LOARING,52.7
539,Miguel WHITE,52.8
540,David George BURGHLEY,53.4
541,Frank CUHEL,53.6
542,Morgan TAYLOR,53.6
543,Frank LOOMIS,0:54.0
544,John NORTON,54.6
545,August DESCH,54.7
546,Harry HILLMAN,53.0
547,Frank WALLER,53.2
548,George POAGE,
549,Felix SANCHEZ,47.63
550,Michael TINSLEY,47.91
551,Javier CULSON,48.1
552,Felix SANCHEZ,47.63
553,Danny MCFARLANE,48.11
554,Naman KEITA,48.26
555,Derrick ADKINS,47.54
556,Samuel MATETE,47.78
557,Calvin DAVIS,47.96
558,Volker BECK,48.7
559,Vasili ARKHIPENKO,48.86
560,Gary OAKES,49.11
561,John AKII-BUA,47.82
562,Ralph MANN,48.51
563,David HEMERY,48.52
564,Warren (Rex) Jay CAWLEY,49.6
565,John COOPER,50.1
566,Salvatore MORALE,50.1
567,Glenn DAVIS,50.1
568,Eddie SOUTHERN,50.8
569,Josh CULBREATH,51.6
570,Roy Braxton COCHRAN,51.1
571,Duncan WHITE,51.8
572,Rune LARSSON,52.2
573,Robert Morton Newburgh TISDALL,51.8
574,Glenn HARDIN,51.9
575,Morgan TAYLOR,52.0
576,Morgan TAYLOR,52.6
577,Erkka WILEN,53.8
578,Ivan RILEY,54.2
579,Charles BACON,55.0
580,Harry HILLMAN,
581,Leonard Francis TREMEER,
582,Walter TEWKSBURY,57.6
583,Henri TAUZIN,58.3
584,George ORTON,
585,Wayde VAN NIEKERK,43.03
586,Kirani JAMES,43.76
587,Lashawn MERRITT,43.85
588,Lashawn MERRITT,43.75
589,Jeremy WARINER,44.74
590,David NEVILLE,44.8
591,Michael JOHNSON,43.84
592,Alvin HARRISON,44.4
593,Greg HAUGHTON,44.7
594,Quincy WATTS,43.5
595,Steve LEWIS,44.21
