,Name,Result
1796,Renate STECHER,22.47
1797,Irena KIRSZENSTEIN,22.5
1798,Raelene Ann BOYLE,22.7
1799,Jennifer LAMY,22.8
1800,Wilma RUDOLPH,24.0
1801,Jutta HEINE,24.4
1802,Dorothy HYMAN,24.7
1803,Marjorie JACKSON,23.7
1804,Bertha BROUWER,24.2
1805,Nadezhda KHNYKINA,24.2
1806,Allyson FELIX,21.88
1807,Shelly-Ann FRASER-PRYCE,22.09
1808,Carmelita JETER,22.14
1809,Veronica CAMPBELL-BROWN,22.05
1810,Allyson FELIX,22.18
1811,Debbie FERGUSON-MCKENZIE,22.3
1812,Marie-JosÃ© PÃREC,22.12
1813,Merlene OTTEY,22.24
1814,Mary ONYALI,22.38
1815,BÃ¤rbel ECKERT-WÃCKEL,22.03
1816,Natalia BOCHINA,22.19
1817,Merlene OTTEY,22.2
1818,Renate STECHER,22.4
1819,Raelene Ann BOYLE,22.45
1820,Irena KIRSZENSTEIN,22.74
1821,Edith MCGUIRE,23.0
1822,Irena KIRSZENSTEIN,23.1
1823,Marilyn BLACK,23.1
1824,Betty CUTHBERT,23.4
1825,Christa STUBNICK,23.7
1826,Marlene MATHEWS-WILLARD,23.8
1827,Fanny BLANKERS-KOEN,24.4
1828,Audrey WILLIAMSON,25.1
1829,Audrey PATTERSON,25.2
1830,Hong LIU,1:28:35
1831,Maria Guadalupe GONZALEZ,1:28:37
1832,Xiuzhi LU,1:28:42
1833,Olga KANISKINA,1h26:31
1834,Kjersti PLAETZER,1h27:07
1835,Elisa RIGAUDO,1h27:12
1836,Liping WANG,01h29:05
1837,Liping WANG,01h29:05
1838,Kjersti PLAETZER,01h29:33
1839,Maria VASCO,01h30:23
1840,Elena LASHMANOVA,1:25:02
1841,Shenjie QIEYANG,1:25:16
1842,Athanasia TSOUMELEKA,1h29:12
1843,Olimpiada IVANOVA,1h29:16
1844,Jane SAVILLE,1h29:25
1845,Ruth JEBET,8:59.75
1846,Hyvin Kiyeng JEPKEMOI,9:07.12
1847,Emma COBURN,9:07.63
1848,Gulnara SAMITOVA,8:58.81
1849,Eunice JEPKORIR,9:07.41
1850,Habiba GHRIBI,9:08.37
1851,Sofia ASSEFA,9:09.84
1852,Milcah Chemos CHEYWA,9:09.88
1853,Dalilah MUHAMMAD,53.13
1854,Sara Slott PETERSEN,53.55
1855,Ashley SPENCER,53.72
1856,Melaine WALKER,52.64
1857,Sheena TOSTA,53.7
1858,Natasha DANVERS,53.84
1859,Irina PRIVALOVA,53.02
1860,Deon Marie HEMMINGS,53.45
1861,Nezha BIDOUANE,53.57
1862,Sally GUNNELL,53.23
1863,Sandra FARMER-PATRICK,53.69
1864,Janeene VICKERS,54.31
1865,Nawal EL MOUTAWAKEL,54.61
1866,Judi BROWN,55.2
1867,Cristina COJOCARU,55.41
1868,Natalya ANTYUKH,52.7
1869,Lashinda DEMUS,52.77
1870,Zuzana HEJNOVA,53.38
1871,Fani KHALKIA,52.82
1872,Ionela TIRLEA,53.38
1873,Tetyana TERESHCHUK,53.44
1874,Deon Marie HEMMINGS,52.82
1875,Kim BATTEN,53.08
1876,Tonja BUFORD-BAILEY,53.22
1877,Shaunae MILLER,49.44
1878,Allyson FELIX,49.51
1879,Shericka JACKSON,49.85
1880,Christine OHURUOGU,49.62
1881,Shericka WILLIAMS,49.69
1882,Sanya RICHARDS-ROSS,49.93
1883,Cathy FREEMAN,49.11
1884,Lorraine FENTON,49.58
1885,Katharine MERRY,49.72
1886,Marie-JosÃ© PÃREC,48.83
1887,Olga BRYZGINA,49.05
1888,Ximena RESTREPO,49.64
1889,Valerie BRISCO,48.83
1890,Chandra CHEESEBOROUGH,49.05
1891,Kathryn SMALLWOOD-COOK,49.42
1892,Irena KIRSZENSTEIN,49.29
1893,Christina BREHMER-LATHAN,50.51
1894,Ellen STROPAHL-STREIDT,50.55
1895,Colette BESSON,52.0
1896,Lillian BOARD,52.1
1897,Natalya CHISTYAKOVA,52.2
1898,Sanya RICHARDS-ROSS,49.55
1899,Christine OHURUOGU,49.7
1900,DeeDee TROTTER,49.72
1901,Tonique WILLIAMS-DARLING,49.41
1902,Ana GUEVARA,49.56
1903,Natalya ANTYUKH,49.89
1904,Marie-JosÃ© PÃREC,48.25
1905,Cathy FREEMAN,48.63
1906,Falilat OGUNKOYA,49.1
1907,Marita KOCH,48.88
1908,Jarmila KRATOHVILOVA,49.46
1909,Christina BREHMER-LATHAN,49.66
1910,Monika ZEHRT,51.08
1911,Rita JAHN,51.21
1912,Kathleen HAMMOND,51.64
1913,Betty CUTHBERT,52.0
1914,Ann PACKER,52.2
1915,Judith Florence AMOORE-POLLOCK,53.4
1916,,41.01
1917,,41.36
1918,,41.77
1919,,42.54
1920,,43.04
1921,,43.14
1922,,41.95
1923,,42.13
1924,,42.2
1925,,42.11
1926,,42.16
1927,,42.81
1928,,41.65
1929,,42.77
1930,,43.11
1931,,42.55
1932,,42.59
1933,,43.09
1934,,42.8
1935,,43.3
1936,,43.4
1937,,44.5
1938,,44.8
1939,,45.0
1940,,45.9
1941,,45.9
1942,,46.2
1943,,46.9
1944,,47.6
1945,,47.8
1946,,48.4
1947,,
1948,,
1949,,40.82
1950,,41.41
1951,,42.04
1952,,41.73
1953,,42.27
1954,,42.54
1955,,41.95
1956,,42.14
1957,,42.24
1958,,41.6
1959,,42.1
1960,,42.43
1961,,42.81
1962,,42.95
1963,,43.36
1964,,43.6
1965,,43.9
1966,,44.0
1967,,44.5
1968,,44.7
1969,,44.9
1970,,47.5
1971,,47.6
1972,,47.8
1973,,47.0
1974,,47.0
1975,,47.6
1976,,
1977,,
1978,,
1979,,3:18.54
1980,,3:20.40
1981,,03:22.62
1982,,03:23.25
1983,,03:23.46
1984,,3:20.20
1985,,3:20.92
1986,,3:24.23
1987,,3:18.29
1988,,3:21.21
1989,,3:22.98
1990,,3:19.23
1991,,3:22.81
1992,,3:24.24
1993,,3:16.87
1994,,3:20.95
1995,,3:23.57
1996,,3:19.01
1997,,3:20.16
1998,,3:22.00
1999,,3:20.91
2000,,3:21.04
2001,,3:21.14
2002,,3:20.2
2003,,3:20.4
2004,,3:27.5
2005,,3:23.0
2006,,3:25.2
2007,,3:26.5
2008,Vivian Jepkemoi CHERUIYOT,14:26.17
2009,Hellen Onsando OBIRI,14:29.77
2010,Almaz AYANA,14:33.59
2011,Tirunesh DIBABA,15:41.40
2012,Elvan ABEYLEGESSE,15:42.74
2013,Meseret DEFAR,15:44.12
2014,Gabriela SZABO,14:40.79
2015,Sonia O'SULLIVAN,14:41.02
2016,Gete WAMI,14:42.23
2017,Meseret DEFAR,15:04.25
2018,Vivian Jepkemoi CHERUIYOT,15:04.73
2019,Tirunesh DIBABA,15:05.15
2020,Meseret DEFAR,14:45.65
2021,Isabella OCHICHI,14:48.19
2022,Tirunesh DIBABA,14:51.83
2023,Junxia WANG,14:59.88
2024,Pauline KONGA,15:03.49
2025,Roberta BRUNET,15:07.52
2026,Caster SEMENYA,1:55.28
2027,Francine NIYONSABA,1:56.49
2028,Margaret Nyairera WAMBUI,1:56.89
2029,Pamela JELIMO,1:54.87
2030,Janeth Jepkosgei BUSIENEI,1:56.07
2031,Hasna BENHASSI,1:56.73
2032,Maria MUTOLA,01:56.15
2033,Stephanie GRAF,01:56.64
2034,Kelly HOLMES,01:56.80
2035,Ellen VAN LANGEN,1:55.54
2036,Liliya NURUTDINOVA,1:55.99
2037,Ana Fidelia QUIROT,1:56.80
2038,Doina MELINTE,1:57.60
2039,Kim GALLAGHER,1:58.63
2040,Fita LOVIN,1:58.83
2041,Tatiana KAZANKINA,1:54.94
2042,Nikolina CHTEREVA,1:55.42
2043,Elfi ZINN,1:55.60
2044,Madeline MANNING-JACKSON,2:00.9
2045,Ileana SILAI,2:02.5
2046,Maria GOMMERS,2:02.6
2047,Lyudmila SHEVTSOVA,2:04.3
2048,Brenda JONES,2:04.4
2049,Ursula DONATH,2:05.6
2050,Mariya SAVINOVA,1:56.19
2051,Caster SEMENYA,1:57.23
2052,Ekaterina POISTOGOVA,1:57.53
2053,Kelly HOLMES,1:56.38
2054,Hasna BENHASSI,1:56.43
2055,Jolanda CEPLAK,1:56.43
2056,Svetlana MASTERKOVA,1:57.73
2057,Ana Fidelia QUIROT,1:58.11
2058,Maria MUTOLA,1:58.71
2059,Nadezhda OLIZARENKO,1:53.5
2060,Olga MINEEVA,1:54.9
2061,Tatiana PROVIDOKHINA,1:55.5
2062,Hildegard FALCK,1:58.55
2063,Niole SABAITE,1:58.65
2064,Gunhild HOFFMEISTER,1:59.19
2065,Ann PACKER,2:01.1
2066,Maryvonne DUPUREUR,2:01.9
2067,Ann Marise CHAMBERLAIN,2:02.8
2068,"Karoline ""Lina"" RADKE",2:16.8
2069,Kinue HITOMI,
2070,Inga GENTZEL,
2071,Sandra PERKOVIC,69.21
2072,Melina ROBERT-MICHON,66.73
2073,Denia CABALLERO,65.34
2074,Stephanie BROWN TRAFTON,64.74
2075,Olena ANTONOVA,62.59
2076,Ellina ZVEREVA,68.4
2077,Anastasia KELESIDOU,65.71
2078,Iryna YATCHENKO,65.2
2079,Maritza MARTEN,70.06
2080,Tsvetanka KHRISTOVA,67.78
2081,Daniela COSTIAN,66.24
2082,Ria STALMAN,65.36
2083,Leslie DENIZ,64.86
2084,Florenta CRACIUNESCU,63.64
2085,Lia MANOLIU,58.28
2086,Liesel WESTERMANN,57.76
2087,Jolan KLEIBER-KONTSEK,54.9
2088,Nina ROMASHKOVA,55.1
2089,Tamara PRESS,52.59
2090,Lia MANOLIU,52.36
2091,Nina ROMASHKOVA,51.42
2092,Yelizaveta BAGRYANTSEVA,47.08
2093,Nina DUMBADZE,46.29
2094,Gisela MAUERMAYER,47.63
2095,Jadwiga WAJS,46.22
2096,Paula MOLLENHAUER,39.8
2097,Halina KONOPACKA,39.62
2098,Lillian COPELAND,37.08
2099,Ruth SVEDBERG,35.92
2100,Sandra PERKOVIC,69.11
2101,Yanfeng LI,67.22
2102,Yarelys BARRIOS,66.38
2103,Natalya SADOVA,67.02
2104,Anastasia KELESIDOU,66.68
2105,Vera POSPISILOVA-CECHLOVA,66.08
2106,Ilke WYLUDDA,69.66
2107,Natalya SADOVA,66.48
2108,Ellina ZVEREVA,65.64
2109,Evelin SCHLAAK-JAHL,69.96
2110,Maria VERGOVA-PETKOVA,67.9
2111,Tatiana LESOVAIA,67.4
2112,Faina MELNIK,66.62
2113,Argentina MENIS,65.06
2114,Vassilka STOEVA,64.34
2115,Tamara PRESS,57.27
2116,Ingrid LOTZ,57.21
2117,Lia MANOLIU,56.97
2118,Micheline OSTERMEYER,41.92
2119,Edera CORDIALE-GENTILE,41.17
2120,Jacqueline MAZEAS,40.47
2121,Lillian COPELAND,40.58
2122,Ruth OSBURN,40.12
2123,Jadwiga WAJS,38.74
2124,Anita WLODARCZYK,82.29
2125,Wenxiu ZHANG,76.75
2126,Sophie HITCHON,74.54
2127,Yipsi MORENO,75.2
2128,Wenxiu ZHANG,74.32
2129,Manuela MONTEBRUN,72.54
2130,Kamila SKOLIMOWSKA,71.16
2131,Olga KUZENKOVA,69.77
2132,Kirsten MÃNCHOW,69.28
2133,Anita WLODARCZYK,77.6
2134,Betty HEIDLER,77.13
2135,Olga KUZENKOVA,75.02
2136,Yipsi MORENO,73.36
2137,Yunaika CRAWFORD,73.16
2138,Nafissatou THIAM,6810.0
2139,Jessica ENNIS HILL,6775.0
2140,Brianne THEISEN EATON,6653.0
2141,Natallia DOBRYNSKA,6733.0
2142,Hyleas FOUNTAIN,6619.0
2143,Tatyana CHERNOVA,6591.0
2144,Denise LEWIS,6584.0
2145,Yelena PROKHOROVA,6531.0
2146,Natalya SAZANOVICH,6527.0
2147,Jackie JOYNER,7044 P.
2148,Irina BELOVA,6845.0
2149,Sabine BRAUN,6649.0
2150,Glynis NUNN,6390.0
2151,Jackie JOYNER,6385.0
2152,Sabine EVERTS,6363.0
2153,Jessica ENNIS HILL,6955.0
2154,Lilli SCHWARZKOPF,6649.0
2155,Tatyana CHERNOVA,6628.0
2156,Carolina KLUFT,6952.0
2157,Austra SKUJYTE,6435.0
2158,Kelly SOTHERTON,6424.0
2159,Ghada SHOUAA,6780.0
2160,Natalya SAZANOVICH,6563.0
2161,Denise LEWIS,6489.0
2162,Jackie JOYNER,7291 P.
2163,Sabine JOHN,6897.0
2164,Anke BEHMER,6858.0
2165,Ruth BEITIA,
2166,Mirela DEMIREVA,
2167,Blanka VLASIC,
2168,Tia HELLEBAUT,2.05
2169,Blanka VLASIC,2.05
2170,Yelena YELESINA,2.01
2171,Hestrie CLOETE,2.01
2172,Kajsa BERGQVIST,1.99
2173,Oana PANTELIMON,1.99
2174,Heike HENKEL,2.02
2175,Galina ASTAFEI,2.0
2176,Joanet QUINTERO,1.97
2177,Rosemarie WITSCHAS-ACKERMANN,1.93
2178,Sara SIMEONI,1.91
2179,Yordanka BLAGOEVA-DIMITROVA,1.91
2180,Iolanda BALAS,1.85
2181,Dorothy SHIRLEY,1.71
2182,Jaroslawa JÃZWIAKOWSKA,1.71
2183,Esther BRAND,1.67
2184,Sheila LERWILL,1.65
2185,Aleksandra CHUDINA,1.63
2186,Ibolya CSÃK,1.6
2187,Dorothy ODAM,1.6
2188,Elfriede KAUN,1.6
2189,Anna CHICHEROVA,2.05
2190,Brigetta BARRETT,2.03
2191,Svetlana SHKOLINA,2.03
2192,Elena SLESARENKO,2.06
2193,Hestrie CLOETE,2.02
2194,Vita STYOPINA,2.02
2195,Stefka KOSTADINOVA,2.05
2196,Niki BAKOGIANNI,2.03
2197,Inha BABAKOVA,2.01
2198,Sara SIMEONI,1.97
2199,Urszula KIELAN,1.94
2200,Jutta KIRST,1.94
2201,Iolanda BALAS,1.9
2202,Michele BROWN,1.8
2203,Taisiya CHENCHIK,1.78
2204,Alice COACHMAN,1.68
2205,Dorothy ODAM,1.68
2206,Micheline OSTERMEYER,1.61
2207,Jean SHILEY,1.65
2208,Mildred DIDRIKSON,1.65
2209,Eva DAWES,1.6
2210,Sara KOLAK,66.18
2211,Sunette VILJOEN,64.92
2212,Barbora SPOTAKOVA,64.8
2213,Barbora SPOTAKOVA,71.42
2214,Christina OBERGFOLL,66.13
2215,Trine HATTESTAD,68.91
2216,Mirela MANIANI,67.51
2217,Osleidys MENÃNDEZ,66.18
2218,Silke RENK,68.34
2219,Natalia SHIKOLENKO,68.26
2220,Karen FORKEL,66.86
2221,Ruth FUCHS,65.94
2222,Marion BECKER-STEINER,64.7
2223,Kathryn Joan SCHMIDT,63.96
2224,Angela NEMETH,60.36
2225,Mihaela PENES,59.92
2226,Eva JANKO-EGGER,58.04
2227,Elvira OZOLINA,55.98
2228,Dana INGROVA-ZATOPKOVA,53.78
2229,Birute KALEDIENE,53.45
2230,Dana INGROVA-ZATOPKOVA,50.47
2231,Aleksandra CHUDINA,50.01
2232,Yelena GORCHAKOVA,49.76
2233,Tilly FLEISCHER,45.18
2234,Luise KRÃGER,43.29
2235,Maria KWASNIEWSKA,41.8
2236,Barbora SPOTAKOVA,69.55
2237,Christina OBERGFOLL,65.16
2238,Linda STAHL,64.91
2239,Osleidys MENÃNDEZ,71.53
2240,Steffi NERIUS,65.82
2241,Mirela MANIANI,64.29
2242,Heli RANTANEN,67.94
2243,Louise MCPAUL,65.54
2244,Trine HATTESTAD,64.98
2245,Maria COLON,68.4
2246,Saida GUNBA,67.76
2247,Ute HOMMOLA,66.56
2248,Ruth FUCHS,63.88
2249,Jacqueline TODTEN,62.54
2250,Kathryn Joan SCHMIDT,59.94
2251,Mihaela PENES,60.54
2252,Marta ANTAL-RUDAS,58.27
2253,Yelena GORCHAKOVA,57.06
2254,Herma BAUMA,45.57
2255,Kaisa PARVIAINEN,43.79
2256,Lily CARLSTEDT,42.08
2257,Mildred DIDRIKSON,43.68
2258,Ellen BRAUMÃLLER,43.49
2259,Tilly FLEISCHER,43.0
2260,Tianna BARTOLETTA,7.17
2261,Brittney REESE,7.15
2262,Ivana SPANOVIC,7.08
2263,Maurren Higa MAGGI,7.04
2264,Blessing OKAGBARE,6.91
2265,Heike DRECHSLER,6.99
2266,Fiona MAY,6.92
2267,Tatyana KOTOVA,6.83
2268,Heike DRECHSLER,7.14
2269,Inessa KRAVETS,7.12
2270,Jackie JOYNER,7.07
2271,Angela VOIGT,6.72
2272,Catherine Laverne MCMILLAN,6.66
2273,Lidia ALFEEVA,6.6
2274,Vera KOLASHNIKOVA-KREPKINA,6.37
2275,Elzbieta KRZESINSKA,6.27
2276,Hildrun CLAUS,6.21
2277,Yvette WILLIAMS,6.24
2278,Aleksandra CHUDINA,6.14
2279,Shirley CAWLEY,5.92
2280,Brittney REESE,7.12
2281,Elena SOKOLOVA,7.07
2282,Janay DELOACH,6.89
2283,Tatyana LEBEDEVA,7.07
2284,Irina SIMAGINA,7.05
2285,Tatyana KOTOVA,7.05
2286,Chioma AJUNWA,7.12
2287,Fiona MAY,7.02
2288,Jackie JOYNER,7.0
2289,Tatiana KOLPAKOVA,7.06
2290,Brigitte WUJAK,7.04
2291,Tatiana SKACHKO,7.01
2292,Mary RAND,6.76
2293,Irena KIRSZENSTEIN,6.6
2294,Tatyana SHCHELKANOVA,6.42
2295,Jemima Jelagat SUMGONG,2:24:04
2296,Eunice Jepkirui KIRWA,2:24:13
2297,Mare DIBABA,2:24:30
2298,Constantina TOMESCU,2h26:44
2299,Catherine NDEREBA,2h27:06
2300,Chunxiu ZHOU,2h27:07
2301,Naoko TAKAHASHI,02h23:14
2302,Lidia SIMON,02h23:22
2303,Joyce CHEPCHUMBA,02h24:45
2304,Valentina YEGOROVA,2:32:41
2305,Yuko ARIMORI,2:32:49
2306,Lorraine MOLLER,2:33:59
2307,Joan BENOIT,2:24:52
2308,Grete ANDERSEN,2:26:18
2309,Rosa MOTA,2:26:57
2310,Tiki GELANA,2:23:07
2311,Priscah JEPTOO,2:23:12
2312,Tatyana PETROVA ARKHIPOVA,2:23:29
2313,Mizuki NOGUCHI,2h26:20
2314,Catherine NDEREBA,2h26:32
2315,Deena KASTOR,2h27:20
2316,Fatuma ROBA,2:26:05
2317,Valentina YEGOROVA,2:28:05
2318,Yuko ARIMORI,2:28:39
2319,Rosa MOTA,2:25:40
2320,Lisa ONDIEKI,2:25:53
2321,Katrin DÃRRE,2:26:21
2322,Ekaterini STEFANIDI,4.85
2323,Sandi MORRIS,4.85
2324,Eliza MCCARTNEY,4.8
2325,Yelena ISINBAEVA,5.05
2326,Jennifer SUHR,4.8
2327,Svetlana FEOFANOVA,4.75
2328,Stacy DRAGILA,4.6
2329,Tatiana GRIGORIEVA,4.55
2330,Vala FLOSADÃTTIR,4.5
2331,Jennifer SUHR,4.75
2332,Yarisley SILVA,4.75
2333,Yelena ISINBAEVA,4.7
2334,Yelena ISINBAEVA,4.91
2335,Svetlana FEOFANOVA,4.75
2336,Anna ROGOWSKA,4.7
2337,Michelle CARTER,20.63
2338,Valerie ADAMS,20.42
2339,Anita MARTON,19.87
2340,Valerie ADAMS,20.56
2341,Yanina KAROLCHIK,20.56
2342,Larisa PELESHENKO,19.92
2343,Astrid KUMBERNUSS,19.62
2344,Svetlana KRIVELYOVA,21.06
2345,Zhihong HUANG,20.47
2346,Kathrin NEIMKE,19.78
2347,Claudia LOSCH,20.48
2348,Mihaela LOGHIN,20.47
2349,Gael MARTIN,19.19
2350,Ivanka KHRISTOVA,21.16
2351,Nadezhda CHIZHOVA,20.96
2352,Helena FIBINGEROVÃ,20.67
2353,Margitta HELMBOLD-GUMMEL,19.61
2354,Marita LANGE,18.78
2355,Nadezhda CHIZHOVA,18.19
2356,Tamara PRESS,17.32
2357,Johanna LÃTTGE,16.61
2358,Earlene BROWN,16.42
2359,Galina ZYBINA,15.28
2360,Marianne WERNER,14.57
2361,Klavdiya TOCHENOVA,14.5
2362,Valerie ADAMS,20.7
2363,Lijiao GONG,20.22
2364,Yumileidi CUMBA,19.59
2365,Nadine KLEINERT-SCHMITT,19.55
2366,Astrid KUMBERNUSS,20.56
2367,Xinmei SUI,19.88
2368,Irina KHUDOROZHKINA,19.35
2369,Ilona SCHOKNECHT-SLUPIANEK,22.41
2370,Esfira DOLCHENKO-KRACHEVSKAYA,21.42
2371,Margitta DROESE-PUFE,21.2
2372,Nadezhda CHIZHOVA,21.03
2373,Margitta HELMBOLD-GUMMEL,20.22
2374,Ivanka KHRISTOVA,19.35
2375,Tamara PRESS,18.14
2376,Renate GARISCH-CULMBERGER-BOY,17.61
2377,Galina ZYBINA,17.45
2378,Caterine IBARGUEN,15.17
2379,Yulimar ROJAS,14.98
2380,Olga RYPAKOVA,14.74
2381,Francoise MBANGO ETONE,15.39
2382,Tereza MARINOVA,15.2
2383,Tatyana LEBEDEVA,15.0
2384,Olena HOVOROVA,14.96
2385,Olga RYPAKOVA,14.98
2386,Caterine IBARGUEN,14.8
2387,Olga SALADUKHA,14.79
2388,Francoise MBANGO ETONE,15.3
2389,Hrysopiyi DEVETZI,15.25
2390,Tatyana LEBEDEVA,15.14
2391,Inessa KRAVETS,15.33
2392,Inna LASOVSKAYA,14.98
2393,Sarka KASPARKOVA,14.98
